,Order,MSE
0,"(3, 1, 0, 5)",1521306891.6424968
0,"(1, 1, 10, 5)",1525058390.5699904
0,"(1, 2, 10, 8)",1525134013.5575924
0,"(0, 2, 9, 12)",1528299662.309796
0,"(0, 1, 7, 5)",1528485669.3652122
0,"(1, 1, 8, 5)",1529549230.2491465
0,"(2, 1, 7, 5)",1531269947.0588574
0,"(2, 1, 2, 7)",1531509231.365524
0,"(1, 1, 7, 5)",1531622702.8351676
0,"(2, 1, 6, 5)",1532945619.5291653
0,"(2, 2, 9, 8)",1533033373.0585911
0,"(1, 1, 0, 5)",1533495006.0343163
0,"(0, 1, 8, 5)",1535853675.6736596
0,"(1, 1, 6, 5)",1536488932.4910924
0,"(3, 1, 6, 6)",1536526467.199386
0,"(1, 2, 9, 12)",1541216827.0076823
0,"(2, 2, 2)",1541816224.0804818
0,"(2, 2, 9, 12)",1544435424.106689
0,"(3, 1, 5, 10)",1551341247.5274665
0,"(1, 2, 7, 12)",1553815623.6943808
0,"(0, 2, 7, 12)",1555392525.090447
0,"(3, 1, 1, 7)",1556700795.2542193
0,"(0, 2, 6, 12)",1562497338.5071964
0,"(0, 1, 1, 5)",1563498082.9929898
0,"(1, 1, 5, 5)",1572277990.2888248
0,"(2, 2, 8, 12)",1572586308.4680398
0,"(1, 2, 8, 12)",1573803853.8272512
0,"(0, 2, 8, 12)",1577285667.5191767
0,"(2, 2, 7, 12)",1580899289.578813
0,"(0, 1, 11, 5)",1582345356.0112722
0,"(1, 1, 10, 7)",1582466818.8660555
0,"(0, 2, 8, 9)",1582741017.8169012
0,"(3, 1, 4, 8)",1584178149.4246514
0,"(2, 1, 2, 9)",1585170278.8606102
0,"(1, 1, 1, 5)",1586191530.1994998
0,"(0, 2, 9, 8)",1587157771.3129442
0,"(1, 2, 6, 12)",1590384092.8338556
0,"(0, 1, 3, 5)",1599952854.6964383
0,"(2, 1, 1, 7)",1616336941.3402548
0,"(2, 1, 5, 7)",1618761374.4768174
0,"(2, 2, 6, 12)",1620445090.4710946
0,"(2, 1, 7, 9)",1624012251.593152
0,"(1, 2, 5, 10)",1626879809.32217
0,"(1, 1, 11, 5)",1627081505.3603733
0,"(3, 1, 2, 10)",1628037279.293922
0,"(0, 1, 4, 5)",1630394866.0425756
0,"(3, 1, 5, 7)",1630857556.8181036
0,"(2, 1, 7, 6)",1633110988.7078807
0,"(2, 2, 2, 8)",1638641029.1490438
0,"(2, 1, 8, 6)",1640670271.793308
0,"(2, 1, 6, 6)",1641281237.3098266
0,"(1, 1, 6, 9)",1642500258.217881
0,"(0, 1, 2, 5)",1642935467.3137946
0,"(0, 2, 6, 10)",1648377393.361699
0,"(3, 1, 3, 9)",1648484041.1825645
0,"(0, 1, 5, 5)",1650265307.1693733
0,"(2, 1, 2, 5)",1653089656.4805696
0,"(1, 1, 2, 5)",1655344907.9616754
0,"(2, 2, 6, 8)",1666648297.970225
0,"(3, 1, 9, 5)",1671958765.7606053
0,"(2, 2, 0, 5)",1673007488.1860151
0,"(1, 2, 9, 7)",1682967072.4380496
0,"(3, 1, 4, 10)",1683206327.872851
0,"(3, 0, 2)",1688317894.346141
0,"(2, 2, 7, 9)",1700621039.8585508
0,"(2, 1, 1, 5)",1712299162.4364045
0,"(3, 1, 10, 5)",1712973129.293308
0,"(1, 1, 3, 6)",1718192292.5190563
0,"(2, 1, 8, 5)",1736157122.6900213
0,"(2, 1, 0, 5)",1750644744.9126756
0,"(3, 1, 5, 9)",1753268530.4367516
0,"(2, 1, 3, 6)",1754515908.129502
0,"(2, 1, 6, 9)",1762377667.280073
0,"(1, 2, 4, 10)",1763807601.8008976
0,"(3, 1, 8, 6)",1765427916.1205769
0,"(1, 1, 2, 7)",1765699891.710486
0,"(3, 1, 5, 8)",1768657566.2318957
0,"(3, 0, 10)",1771708896.368029
0,"(1, 1, 3, 7)",1772935645.3781948
0,"(1, 1, 6, 7)",1797532117.3526287
0,"(3, 1, 6, 9)",1798404437.178159
0,"(3, 1, 3, 10)",1804100084.8160346
0,"(2, 2, 7, 8)",1812736831.1005166
0,"(2, 1, 6, 7)",1817079860.0012138
0,"(3, 0, 9)",1821024228.1095803
0,"(2, 2, 8, 8)",1821301255.112538
0,"(3, 0, 7)",1821665835.8690925
0,"(3, 1, 7, 6)",1832015123.5528328
0,"(3, 1, 6, 8)",1836604806.2311788
0,"(3, 0, 1)",1837216389.0723777
0,"(3, 1, 8, 7)",1837916643.8478687
0,"(3, 1, 3, 8)",1845601467.157771
0,"(3, 1, 5, 6)",1875383455.5488417
0,"(1, 0, 5)",1876420640.4902678
0,"(1, 0, 4)",1877405861.524345
0,"(3, 1, 4, 7)",1877680671.635325
0,"(1, 1, 3, 8)",1878634068.6703615
0,"(0, 1, 10, 6)",1882522283.5445569
0,"(2, 2, 3, 10)",1882880617.7314053
0,"(1, 1, 3, 10)",1883075000.3459697
0,"(3, 1, 1, 8)",1885339593.6766875
0,"(2, 2, 0, 7)",1890801562.9111521
0,"(2, 1, 5, 11)",1893497421.035457
0,"(3, 0, 0)",1897296068.4181032
0,"(0, 2, 10, 6)",1897960535.4600372
0,"(2, 0, 4)",1905518514.4092453
0,"(1, 0, 3)",1905946912.1844623
0,"(2, 0, 3)",1908575637.082756
0,"(2, 1, 5, 10)",1916411843.907747
0,"(2, 1, 1, 9)",1923568638.8696365
0,"(2, 1, 1, 8)",1925905353.950332
0,"(2, 1, 4, 10)",1941245914.4532628
0,"(2, 0, 10)",1957777337.2165375
0,"(2, 2, 6, 9)",1959313651.6043289
0,"(3, 2, 1, 5)",1960148665.2881029
0,"(2, 1, 9, 5)",1963377832.792348
0,"(1, 0, 1)",1966057453.6352522
0,"(0, 1, 0, 6)",1979890335.0630486
